,abbreviation,alt_color,color,conference,division,logos,mascot,school
736,YALE,#286dc0,#004a81,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/43.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/43.png']",Bulldogs,Yale
737,YSU,#690717,#E51936,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2754.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2754.png']",Penguins,Youngstown State
738,,,,,,,,10th District A.C.
739,,,,,,,,111th Ambulance
740,,,,,,,,11th Cavalry
741,,,,,,,,1st Infantry
742,,,,,,,,1st Texas Artillery
743,,,,,,,,20th Infantry
744,,,,,,,,260th Coast Artillery
745,,,,,,,,26th Infantry
746,,,,,,,,2nd Developmemt Regiment
747,,,,,,,,2nd Texas 132nd Infantry
748,,,,,,,,362nd Infantry
749,,,,,,,,3rd Army Corps
750,,,,,,,,47th Infantry
751,,,,,,,,48th Infantry
752,,,,,,,,7th Infantry
753,,,,,,,,9th Amry Corps
754,,,,,,,,Abilene Field
755,,,,,,,,Active Football Club
756,,,,,,,,Actual Business College
757,,,,,,,,Adelbert
758,,,,,,,,Adelphi
759,,,,,,,,Alabama Medical
760,,,,,,,,Alabama Presbyterian
761,,,,,,,,Alabama Southern
762,,,,,,,Sea Lions,Alameda Coast Guard
763,,,,,,,,Alameda NAS
764,,,,,,,,Albertson
765,,,,,,,,Albuquerque Field
766,,,,,,,,Alliance
767,,,,,,,,Alma
768,,,,,,,,Altoona A.C.
769,,,,,,,Sky Giants,Amarillo Field
770,,,,,,,,American
771,,,,,,,,American Legion
772,,,,,,,,American Medical
773,,,,,,,,American Osteopath
774,,,,,,,,Amherst YMCA
775,,,,,,,,Anaconda Anodes
776,,,,,,,,Anderson
777,,,,,,,,Andover
778,,,,,,,,Arizona All-Stars
779,,,,,,,,Armour
780,,,,,,,,Army Ambulance Corps
781,,,,,,,,Athens
782,,,,,,,,Athens A.C.
783,,,,,,,,Atlantic Christian
784,,,,,,,,Atlantic City NAS
785,,,,,,,,Augusta Military Academy
786,,,,,,,,Augustana (South Dakota)
787,,,,,,,,Austin
788,,,,,,,,Austin High
789,,,,,,,,Bailey Military
790,,,,,,,,Bainbridge NTS
791,,,,,,,,Baker
792,,,,,,,,Balboa NTS
793,,,,,,,,Ballard Meteors
794,,,,,,,,Baltimore
795,,,,,,,,Baltimore A.C.
796,,,,,,,,Bankers A.C.
797,,,,,,,,Barksdale Field
798,,,,,,,,Barnes Medical
799,,,,,,,,Barron Field
800,,,,,,,,Beaumont Hospital
