,abbreviation,alt_color,color,conference,division,logos,mascot,school
445,NIU,#cc0000,#F1122C,Mid-American,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2459.png']",Huskies,Northern Illinois
446,UNI,#ffffff,#473282,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2460.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2460.png']",Panthers,Northern Iowa
447,NOR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/128.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/128.png']",Wildcats,Northern Michigan
448,NOR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/425.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/425.png']",Wolves,Northern State
449,NGR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2822.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2822.png']",Crusaders,North Greenville
450,NOR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/75.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/75.png']",Vikings,North Park
451,UNT,#000000,#00853D,Conference USA,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/249.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/249.png']",Mean Green,North Texas
452,NW,#d6cac1,#372286,Big Ten,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/77.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/77.png']",Wildcats,Northwestern
453,NWM,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/583.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/583.png']",Eagles,Northwestern (MN)
454,NWO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2823.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2823.png']",Rangers,Northwestern Oklahoma State
455,NWST,#ed6118,#492F91,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2466.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2466.png']",Demons,Northwestern State
456,NWMS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/138.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/138.png']",Bearcats,Northwest Missouri State
457,NAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2886.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2886.png']",Timberwolves,Northwood (MI)
458,NOR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2467.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2467.png']",Cadets,Norwich
459,ND,#ae9142,#00122b,FBS Independents,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/87.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/87.png']",Fighting Irish,Notre Dame
460,NOT,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/587.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/587.png']",Blue Falcons,Notre Dame College
461,OBE,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/391.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/391.png']",Yeomen,Oberlin
462,OCC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2475.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2475.png']",Tigers,Occidental
463,OHIO,#e4bb85,#295A29,Mid-American,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/195.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/195.png']",Bobcats,Ohio
464,,,,,,,Panthers,Ohio Dominican
465,OMW,,,,,,Rams,Ohio Midwestern College
466,ON,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/427.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/427.png']",Polar Bears,Ohio Northern
467,OSU,#666666,#DE3121,Big Ten,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']",Buckeyes,Ohio State
468,OSU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3161.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3161.png']",Titans,Ohio State Newark
469,OHI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2980.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2980.png']",Battling Bishops,Ohio Wesleyan
470,OKLA,#cccccc,#7b0000,Big 12,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/201.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/201.png']",Sooners,Oklahoma
471,OB,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/319.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/319.png']",Bison,Oklahoma Baptist
472,OKST,#ff9900,#FF6500,Big 12,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/197.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/197.png']",Cowboys,Oklahoma State
473,OKP,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2824.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2824.png']",Aggies,OK Panhandle St
474,ODU,#a1d2f1,#00507d,Conference USA,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/295.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/295.png']",Monarchs,Old Dominion
475,MISS,#00205b,#001148,SEC,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/145.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/145.png']",Rebels,Ole Miss
476,OLI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/354.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/354.png']",Comets,Olivet College
477,ORE,#fee123,#044520,Pac-12,North,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png']",Ducks,Oregon
478,ORST,#dea076,#c34500,Pac-12,North,"['http://a.espncdn.com/i/teamlogos/ncaa/500/204.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/204.png']",Beavers,Oregon State
479,OTT,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/359.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/359.png']",Cardinals,Otterbein
480,OUA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2888.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2888.png']",Tigers,Ouachita Baptist
481,PAC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2487.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2487.png']",Setters,Pace
482,PAC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2486.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2486.png']",Lutes,Pacific Lutheran
483,PAC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/205.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/205.png']",Boxers,Pacific (OR)
484,PSU,#002e5c,#00265D,Big Ten,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/213.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/213.png']",Nittany Lions,Penn State
485,PENN,#a6163d,#082A74,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/219.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/219.png']",Quakers,Pennsylvania
486,PIK,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/95.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/95.png']",Bears,Pikeville
487,PITT,#231f20,#003263,ACC,Coastal,"['http://a.espncdn.com/i/teamlogos/ncaa/500/221.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/221.png']",Panthers,Pittsburgh
488,PIT,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/90.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/90.png']",Gorillas,Pittsburg State
489,PLY,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2972.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2972.png']",Panthers,Plymouth State
490,POINT,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3179.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3179.png']",Point,Point University
491,POM,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2923.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2923.png']",Sagehens,Pomona-Pitzer
492,PRST,#ebebeb,#00311e,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2502.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2502.png']",Vikings,Portland State
493,PVAM,,#4d0960,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2504.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2504.png']",Panthers,Prairie View
494,PRE,#990134,#194896,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2506.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2506.png']",Blue Hose,Presbyterian College
495,PRE,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/597.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/597.png']",Saints,Presentation College
496,PRIN,#080808,#ff9408,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/163.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/163.png']",Tigers,Princeton
497,PRI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/363.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/363.png']",Panthers,Principia College
498,PUG,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2508.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2508.png']",Loggers,Puget Sound
499,PUR,#a4a9ad,#B89D29,Big Ten,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2509.png']",Boilermakers,Purdue
500,QUI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2825.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2825.png']",Hawks,Quincy
501,RAN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2516.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2516.png']",Yellow Jackets,Randolph-Macon
502,RED,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/29.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/29.png']",Bulldogs,Redlands
503,REIN,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2890.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2890.png']",Eagles,Reinhardt
504,REN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2528.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2528.png']",Engineers,Rensselaer
505,URI,#5ab3e8,#3691C6,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/227.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/227.png']",Rams,Rhode Island
506,RHO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2519.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2519.png']",Lynx,Rhodes
507,RICE,#d1d5d8,#003D7D,Conference USA,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/242.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/242.png']",Owls,Rice
508,RICH,#b90b2e,#9e0712,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/257.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/257.png']",Spiders,Richmond
509,RIPON,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2891.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2891.png']",Redhawks,Ripon
510,RMU,#a21d2b,#00214D,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2523.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2523.png']",Colonials,Robert Morris
511,RMU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/599.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/599.png']",Eagles,Robert Morris (IL)
512,ROC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/184.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/184.png']",Yellow Jackets,Rochester
513,ROC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2524.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2524.png']",Regents,Rockford
514,ROS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/86.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/86.png']",Engineers,Rose-Hulman
515,ROWAN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2827.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2827.png']",Professors,Rowan
516,RUTG,#ffffff,#d21034,Big Ten,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/164.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/164.png']",Scarlet Knights,Rutgers
517,SAC,#cdb97d,#00573C,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/16.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/16.png']",Hornets,Sacramento State
518,SHU,#c29472,#a40012,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2529.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2529.png']",Pioneers,Sacred Heart
519,SAG,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/129.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/129.png']",Cardinals,Saginaw Valley
520,SAL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2532.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2532.png']",Sea Gulls,Salisbury
521,SAL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2776.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2776.png']",Seahawks,Salve Regina
522,SAM,#bc0023,#005485,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2535.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2535.png']",Bulldogs,Samford
523,SHSU,#f78e1e,#F78F1E,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2534.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2534.png']",Bearkats,Sam Houston State
524,USD,#2f99d4,#2f99d4,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/301.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/301.png']",Toreros,San Diego
525,SDSU,#a8996e,#BF2C37,Mountain West,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/21.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/21.png']",Aztecs,San Diego State
526,SJSU,#fdba31,#005893,Mountain West,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/23.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/23.png']",Spartans,San Jos̩ State
527,SAV,#f78f1e,#280298,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2542.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2542.png']",Tigers,Savannah State
528,SET,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/611.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/611.png']",Griffins,Seton Hill College
529,SEW,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2553.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2553.png']",Tigers,Sewanee Univ. of the South
530,SHA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2551.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2551.png']",Bears,Shaw
531,SHE,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2828.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2828.png']",Hornets,Shenandoah
532,SHE,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2974.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2974.png']",Rams,Shepherd
533,STC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3181.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3181.png']",Eagles,Shepherd Tech
534,SHI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2559.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2559.png']",Raiders,Shippensburg
535,SH,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2562.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2562.png']",Saints,Siena Heights
536,SIM,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2829.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2829.png']",Clansmen,Simon Fraser
537,SIM,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2564.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2564.png']",Storm,Simpson College
538,SRU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/215.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/215.png']",The Rock,Slippery Rock
539,SMU,#ecdcb9,#E32F38,American Athletic,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2567.png']",Mustangs,SMU
540,USA,,#003E7E,Sun Belt,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/6.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/6.png']",Jaguars,South Alabama
541,SC,#000000,#670010,SEC,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2579.png']",Gamecocks,South Carolina
542,SCST,#104897,#7d1315,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2569.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2569.png']",Bulldogs,South Carolina State
543,SDAK,#f0f0f0,#CD1241,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/233.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/233.png']",Coyotes,South Dakota
544,SDA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/613.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/613.png']",Hardrockers,South Dakota Mines
545,SDSU,#c33139,#005DAB,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2571.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2571.png']",Jackrabbits,South Dakota State
546,SELA,#dca008,#007550,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2545.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2545.png']",Lions,Southeastern Louisiana
547,SEOS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/199.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/199.png']",Savage Storm,Southeastern Oklahoma
548,SEFL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/267.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/267.png']",Fire,Southeastern University
549,SEMO,#080808,#cc0000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2546.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2546.png']",Redhawks,Southeast Missouri State
550,SOU,#ffc82d,#004B97,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2582.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2582.png']",Jaguars,Southern
551,SOU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2568.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2568.png']",Muleriders,Southern Arkansas
552,SOU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2583.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2583.png']",Owls,Southern Connecticut State
553,SIU,#c2c3c0,#85283D,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/79.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/79.png']",Salukis,Southern Illinois
554,USM,#ffc423,#FFAA3C,Conference USA,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2572.png']",Golden Eagles,Southern Mississippi
555,STN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/200.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/200.png']",Crimson Storm,Southern Nazarene
556,SOU,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2584.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2584.png']",Raiders,Southern Oregon
557,SUU,#c2c3c0,#d10000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/253.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/253.png']",Thunderbirds,Southern Utah
558,SVA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2896.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2896.png']",Knights,Southern Virginia
559,USF,#231f20,#004A36,American Athletic,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/58.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/58.png']",Bulls,South Florida
560,SWB,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2586.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2586.png']",Bearcats,Southwest Baptist
561,SWA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2904.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2904.png']",Lions,Southwestern Assemblies of God
562,SWC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/616.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/616.png']",Moundbuilders,Southwestern College
563,SWO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2927.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2927.png']",Bulldogs,Southwestern Oklahoma
564,SWM,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2587.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2587.png']",Mustangs,Southwest Minnesota State
565,SPR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/81.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/81.png']",Pride,Springfield
566,STA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2591.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2591.png']",Fighting Bees,St. Ambrose
567,STAN,#ffffff,#A80532,Pac-12,North,"['http://a.espncdn.com/i/teamlogos/ncaa/500/24.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/24.png']",Cardinal,Stanford
568,STA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2830.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2830.png']",Hawks,St. Anselm
569,STA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/395.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/395.png']",Falcons,St. Augustine's
570,STC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2594.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2594.png']",Huskies,St. Cloud State
571,SFA,#bec0c2,#393996,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2617.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2617.png']",Lumberjacks,Stephen F. Austin
572,STC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/618.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/618.png']",Warriors,Sterling College
573,STET,#d49d5d,#18581c,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/56.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/56.png']",Hatters,Stetson
574,STU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/471.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/471.png']",Mustangs,Stevenson
575,SFIL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2595.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2595.png']",Fighting Saints,St. Francis (IL)
576,SBP,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2831.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2831.png']",Cougars,St. Francis (IN)
577,SFU,,#a20012,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2598.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2598.png']",Red Flash,St Francis (PA)
578,STJ,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/374.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/374.png']",Cardinals,St. John Fisher
579,STJ,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2600.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2600.png']",Johnnies,St. Johns (MN)
580,STL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2779.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2779.png']",Saints,St Lawrence
581,STN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2832.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2832.png']",Green Knights,St. Norbert
582,STO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/133.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/133.png']",Oles,St. Olaf College
583,SBI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/284.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/284.png']",Chieftains,Stonehill
584,STON,,#990000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2619.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2619.png']",Seawolves,Stony Brook
585,STP,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2611.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2611.png']",Tigers,St. Paul's College
586,SPU,,#001555,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2612.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2612.png']",Peacocks,St. Peter's
587,SS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/375.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/375.png']",College of St. Scholastica,St. Scholastica
